,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
47,Bonita Granville,1,1936,1936,0,1923,,335748,,1923-2-2,"Chicago, Illinois, USA"
138,Gloria Grahame,2,1947,1952,5,1923,,2108,,1923-11-28,"Los Angeles, California, USA"
141,Glynis Johns,1,1960,1960,0,1923,,424318,,1923-10-5,"Pretoria, South Africa"
175,Jean Hagen,1,1952,1952,0,1923,,353405,,1923-8-3,"Chicago, Illinois, USA"
400,Valentina Cortese,1,1974,1974,0,1923,,181305,,1923-1-1,"Milan, Lombardy, Italy"
95,Doris Day,1,1959,1959,0,1924,,13,,1922-4-3,"Cincinnati, Ohio, USA"
118,Eva Marie Saint,1,1954,1954,0,1924,,1693,,1924-7-4,"Newark, New Jersey, USA"
132,Geraldine Page,8,1953,1985,32,1924,,656183,,1924-11-22,"Kirksville, Missouri, USA"
197,Jocelyne Lagarde,1,1966,1966,0,1924,,681933,,1892-4-8,"Toronto, Ontario, Canada"
225,Katy Jurado,1,1954,1954,0,1924,,432827,,1924-1-16,"Guadalajara, Jalisco, Mexico"
236,Lauren Bacall,1,1996,1996,0,1924,,2,,1924-9-16,"The Bronx, New York City, New York, USA"
284,Martha Hyer,1,1958,1958,0,1924,,405054,,1924-8-10,"Fort Worth, Texas, USA"
335,Peggy Cass,1,1958,1958,0,1924,,143918,,1924-5-21,"Boston, Massachusetts, USA"
12,Angela Lansbury,3,1944,1962,18,1925,,1450,,1925-10-16,"Regent's Park, London, England, UK"
53,Cara Williams,1,1958,1958,0,1925,,930209,,1925-6-29,"Brooklyn, New York City, New York, USA"
77,Colette Marchand,1,1952,1952,0,1925,,545376,,1925-4-29,"Paris, France"
97,Dorothy Malone,1,1956,1956,0,1925,,540416,,1925-1-30,"Chicago, Illinois, USA"
177,Jeanne Crain,1,1949,1949,0,1925,,2022,,1925-5-25,"Barstow, California, USA"
211,Julie Harris,1,1952,1952,0,1925,,364915,,1925-12-2,"Grosse Pointe Park, Michigan, USA"
231,Kim Stanley,2,1964,1982,18,1925,,822535,,1925-2-11,"Tularosa, New Mexico, USA"
237,Lee Grant,4,1951,1976,25,1925,,335519,,1925-10-31,"New York City, New York, USA"
294,Maureen Stapleton,4,1958,1981,23,1925,,822972,,1925-6-21,"Troy, New York, USA"
76,Cloris Leachman,1,1971,1971,0,1926,,1458,,1926-4-30,"Des Moines, Iowa, USA"
194,Joan Lorring,1,1945,1945,0,1926,,521156,,1926-4-17,"Hong Kong, China"
