,Nominee,Nominations,First,Last,Last - First,born,No,imdbID,ambiguous?,bday,bplace
377,Sophia Loren,2,1961,1964,3,1934,,47,,1934-9-20,"Rome, Lazio, Italy"
33,Barbara Harris,1,1971,1971,0,1935,,364455,,1935-7-25,"Evanston, Illinois, USA"
84,Diahann Carroll,1,1974,1974,0,1935,,140792,,1935-7-17,"The Bronx, New York City, New York, USA"
209,Julie Andrews,3,1964,1982,18,1935,,267,,1935-10-1,"Walton-on-Thames, Surrey, England, UK"
238,Lee Remick,1,1962,1962,0,1935,,1665,,1935-12-14,"Quincy, Massachusetts, USA"
136,Glenda Jackson,4,1970,1975,5,1936,,413559,,1936-5-9,"Birkenhead, Cheshire, England, UK"
292,Mary Tyler Moore,1,1980,1980,0,1936,,1546,,1936-12-29,"Brooklyn, New York, USA"
322,Norma Aleandro,1,1987,1987,0,1936,,1903,,1936-5-2,"Buenos Aires, Federal District, Argentina"
370,Shirley Knight,2,1960,1962,2,1936,,4309,,1936-7-5,"Goessel, Kansas, USA"
382,Susan Kohner,1,1959,1959,0,1936,,463435,,1936-11-11,"Los Angeles, California, USA"
99,Dyan Cannon,2,1969,1978,9,1937,,1007,,1937-1-4,"Tacoma, Washington, USA"
168,Jane Fonda,7,1969,1986,17,1937,,404,,1937-12-21,"New York City, New York, USA"
358,Sally Kellerman,1,1970,1970,0,1937,,1419,,1937-6-2,"Long Beach, California, USA"
363,Sandy Dennis,1,1966,1966,0,1937,,6800,,1937-4-27,"Hastings, Nebraska, USA"
402,Vanessa Redgrave,6,1966,1992,26,1937,,603,,1937-1-30,"Greenwich, London, England, UK"
92,Diane Varsi,1,1957,1957,0,1938,,890215,,1938-2-23,"San Mateo, California, USA"
250,Liv Ullmann,2,1972,1976,4,1938,,880521,,1938-12-16,"Tokyo, Japan"
259,Lynn Carlin,1,1968,1968,0,1938,,681933,,1892-4-8,"Toronto, Ontario, Canada"
319,Natalie Wood,3,1955,1963,8,1938,,81,,1938-7-20,"San Francisco, California, USA"
4,Ali MacGraw,1,1970,1970,0,1939,,532298,,1939-4-1,"Pound Ridge, New York, USA"
50,Brenda Vaccaro,1,1975,1975,0,1939,,882853,,1939-11-18,"Brooklyn, New York City, New York, USA"
166,Jane Alexander,4,1970,1983,13,1939,,737,,1939-10-28,"Boston, Massachusetts, USA"
173,Janet Suzman,1,1971,1971,0,1939,,840531,,1939-2-9,"Johannesburg, South Africa"
215,Karen Black,1,1970,1970,0,1939,,947,,1939-7-1,"Park Ridge, Illinois, USA"
246,Lily Tomlin,1,1975,1975,0,1939,,5499,,1939-9-1,"Detroit, Michigan, USA"
299,Melinda Dillon,2,1977,1981,4,1939,,227039,,1939-10-13,"Hope, Arkansas, USA"
361,Samantha Eggar,1,1965,1965,0,1939,,2058,,1939-3-5,"Hampstead, London, England, UK"
386,Susannah York,1,1969,1969,0,1939,,948772,,1939-1-9,"Chelsea, London, England, UK"
220,Katharine Ross,1,1967,1967,0,1940,,1684,,1940-1-29,"Hollywood, Los Angeles, California, USA"
333,Pauline Collins,1,1989,1989,0,1940,,172604,,1940-9-3,"Exmouth, Devon, England, UK"
18,Ann-Margret,2,1971,1975,4,1941,,268,,1941-4-28,"Valsjöbyn, Jämtlands län, Sweden"
121,Faye Dunaway,3,1967,1976,9,1941,,1159,,1941-1-14,"Bascom, Florida, USA"
210,Julie Christie,3,1965,1997,32,1941,,1046,,1940-4-14,"Chabua, Assam Province, British India [now Assam, India]"
359,Sally Kirkland,1,1987,1987,0,1941,,476,,1941-10-31,"New York City, New York, USA"
365,Sarah Miles,1,1970,1970,0,1941,,587234,,1941-12-31,"Ingatestone, Essex, England, UK"
37,Barbra Streisand,2,1968,1973,5,1942,,659,,1942-4-24,"Williamsburg, Brooklyn, New York City, New York, USA"
130,Genevieve Bujold,1,1969,1969,0,1942,,991,Geneviève Bujold,1942-7-1,"Montréal, Québec, Canada"
262,Madeline Kahn,2,1973,1974,1,1942,,1404,,1942-9-29,"Chelsea, Massachusetts, USA"
283,Marsha Mason,4,1973,1981,8,1942,,556850,,1942-4-3,"St. Louis, Missouri, USA"
63,Catherine Deneuve,1,1992,1992,0,1943,,366,,1943-10-22,"Paris, France"
106,Elizabeth Hartman,1,1965,1965,0,1943,,366946,,1943-12-23,"Youngstown, Ohio, USA"
261,Lynn Redgrave,2,1966,1998,32,1943,,1655,,1943-3-8,"Marylebone, London, England, UK"
397,Tuesday Weld,1,1977,1977,0,1943,,1839,,1943-8-27,"New York City, New York, USA"
401,Valerie Perrine,1,1974,1974,0,1943,,674781,,1943-9-3,"Galveston, Texas, USA"
85,Diana Ross,1,1972,1972,0,1944,,5384,,1944-3-26,"Detroit, Michigan, USA"
186,Jill Clayburgh,2,1978,1979,1,1944,,1049,,1944-4-30,"New York City, New York, USA"
267,Margaret Avery,1,1985,1985,0,1944,,1923,,1944-1-20,"Mangum, Oklahoma, USA"
