,script_id,imdb_id,title,year,gross,lines_data,female,male,movie,total,female_per,male_per
926,4596,tt0390221,Maria Full of Grace,2004,9.0,321003610002423143343446443420352002476633400320000000015503421023100311331242000043011011465332,5364,2635,,7999,0.6705838229778722,0.3294161770221278
927,2857,tt0822832,Marley & Me,2008,173.0,7777643467764347777421424774457764357433132346477434357723675535633423453223433652354544457743443354435776523457634377754675653537777646454331,6367,11120,,17487,0.36409904500486073,0.6359009549951392
928,4597,tt0116996,Mars Attacks!,1996,74.0,7732437663647443565456754566645575677476774636757676575545254,1075,5060,,6135,0.1752241238793806,0.8247758761206194
929,2858,tt1441326,Martha Marcy May Marlene,2011,3.0,0005520000242221024410351241002200130344344310232000000033000020000004431456534355223016760422202234000002,4657,2073,,6730,0.6919762258543833,0.30802377414561666
930,8614,tt1663655,Martyrs,2015,,014000000000000000000000000000000000013,3055,109,,3164,0.9655499367888748,0.034450063211125155
931,4228,tt0109836,Mary Shelley's Frankenstein,1994,45.0,777775405422244325777774577774477777775177577545645777442463415577777656775577367677777,1333,5167,,6500,0.20507692307692307,0.794923076923077
932,6514,tt0066026,MASH,1970,458.0,777777777777777777777777777777776777777777777777777676743434764455777777773577777777566577777777765777777777777777777777775,593,13376,,13969,0.042451141814016755,0.9575488581859832
933,2865,tt0311113,Master and Commander: The Far Side of the World,2003,135.0,77777777777777777777777777777777777777777777777777777777777777777777777777777777777,0,8524,,8524,0.0,1.0
934,6833,tt0416320,Match Point,2005,31.0,77777756455435355512343444434345753452322234356514334677612644763016344103333233255554334443235242434774233234433342323524754567742201232777774774452,8158,11630,,19788,0.41227006266424093,0.5877299373357591
935,1142,tt0325805,Matchstick Men,2003,53.0,76557776777777777777777534333377743347777535523653777777443534343445101030123666634344347746524477643347777777777535777547677777777754767644341,2881,9119,,12000,0.24008333333333334,0.7599166666666667
936,4601,tt0110478,Maverick,1994,212.0,777676567776763344547754653464764757656455447436655466675555655577675477777777777775334432125544254334676466677765444667777756743677777555,1973,7080,,9053,0.21793880481608308,0.7820611951839169
937,1146,tt0467197,Max Payne,2008,49.0,771754357777457775434534677247777777777777537777776644364,319,3007,,3326,0.09591100420926037,0.9040889957907396
938,6580,tt0091499,Maximum Overdrive,1986,17.0,557472715465434434334756444377746557665537532,633,1512,,2145,0.2951048951048951,0.7048951048951049
939,5440,tt2582496,Me and Earl and the Dying Girl,2015,6.0,7777555445444435344454777776445643343332477777454554435577752557444343367454454433447777777744445773365756466751,2585,7326,,9911,0.26082130965593786,0.7391786903440621
940,8233,tt2507238,Me Him Her,2015,,7777777401777777777775744453436334325465317777777176057772555334477777500037740000453544356335456677764436603367625450767743432,3249,6138,,9387,0.3461169702780441,0.6538830297219559
941,4605,tt0377092,Mean Girls,2004,120.0,00223222101020000000000112112242100011201310012533000000010102134350230000224211230,6490,1415,,7905,0.8209993674889311,0.17900063251106893
942,4606,tt0070379,Mean Streets,1973,,7777777577777777773443677777645346777777777767775777777777777777643573667674567777776,414,7831,,8245,0.05021224984839297,0.949787750151607
943,2881,tt0119643,Meet Joe Black,1998,82.0,232335675434345656744446777532435577777755656572434677300477777777500377753736736563337540143777355775620177777777402775344753377400677750037777775444572441432355764343447557544457775433255777777646565733535775002777777777001777717457366542466410436774457,7186,20874,,28060,0.25609408410548823,0.7439059158945117
944,2884,tt0033891,Meet John Doe,1941,,342554467534733456536343444465577777777433433735200006777775344452577767777474467777677773465556534344455777777777776577465777772654354475015343644477345633456444534443565677777776334344545000027777773353453677677775663577776777754547465435335447777777777,7260,24520,,31780,0.22844556324732537,0.7715544367526747
945,4607,tt0081150,Melvin and Howard,1980,,7777777677000003105354465345245232435552643764167434,1448,3415,,4863,0.29775858523545135,0.7022414147645486
946,2887,tt0209144,Memento,2000,41.0,7777777777777743233367777677777643763341437777777777774775655777777774344435543433115563434341465667777777777777667777777777777777777753233357777677777743673342336777777777775675745777777775344434643433124464434341456567777777777777757777774,3646,16450,,20096,0.18142914012738853,0.8185708598726115
947,4608,tt0397535,Memoirs of a Geisha,2005,77.0,7350000000075200022333310254101455144343540133330,4204,1686,,5890,0.7137521222410866,0.2862478777589134
948,7323,tt0104850,Memoirs of an Invisible Man,1992,30.0,76557744477777777776667777577777777777765554555367364445543643445666646652,1360,7524,,8884,0.15308419630796938,0.8469158036920306
949,4609,tt0100133,Memphis Belle,1990,56.0,7777777777775750577777777777777777777777777777777777777777777777777777777777777777777777771,103,8005,,8108,0.012703502713369511,0.9872964972866305
950,1148,tt0119654,Men in Black,1997,473.0,77777777777377777777777647777777777777777777776357777512334725567777777777777377633447667776775777777661,776,6057,,6833,0.11356651543977755,0.8864334845602224
951,2894,tt1409024,Men in Black 3,2012,195.0,77777777777777777777777777776677777777777777777777777777557777777777777777777777777777777777777771,113,14351,,14464,0.0078125,0.9921875
952,1152,tt0119664,Metro,1997,60.0,75465777777644677777777777777345457737777777777777777777777777777777777774433575777777777457723477777777767766763332,781,7915,,8696,0.08981140754369825,0.9101885924563018
953,2900,tt0430357,Miami Vice,2006,84.0,74773557777777767777777777777776366367434477664545353434344346777777753245654342657734767555644,2047,6098,,8145,0.2513198281154082,0.7486801718845918
954,4619,tt0465538,Michael Clayton,2007,61.0,777777777777775612773305574345266677773466777777733577747777765677537777777777153344573,1158,6538,,7696,0.15046777546777546,0.8495322245322245
955,4622,tt1211890,Middle of Nowhere,2012,,4603333410023400011100021233335224334114310333000340000043311454200100444340244100014444442110,6183,2549,,8732,0.7080852038479157,0.29191479615208427
956,2901,tt0064665,Midnight Cowboy,1969,,57672662734777777777777677777777777777777744245433467777777777767766676357263577777777777677777777777777777764433534347777777777776773,1478,11902,,13380,0.11046337817638266,0.8895366218236174
957,1155,tt0077928,Midnight Express,1978,130.0,52377777777777777777777777777777777777777777777777777777632377777777,241,4516,,4757,0.050662182047508934,0.9493378179524911
958,9008,tt1605783,Midnight in Paris,2011,62.0,44444533433334036346335565576457777773323357633243433244523454432424567737742336244222335236642255554343434334441,4415,6761,,11176,0.39504294917680743,0.6049570508231925
959,4625,tt0120751,Mighty Joe Young,1998,93.0,00372577777774743135377544253442645424565453547724433545537765372244563735464523330,2329,4573,,6902,0.3374384236453202,0.6625615763546798
960,4626,tt0113820,Mighty Morphin Power Rangers: The Movie,1995,75.0,6667555656646564677364455675656745775724312113322557777564762256545555465656755446,1569,3713,,5282,0.2970465732677016,0.7029534267322983
961,1153,tt1013753,Milk,2008,38.0,6677777777777777777777777777777777777777764567777766777776777766776776767776677777776776,357,10769,,11126,0.03208700341542333,0.9679129965845766
962,5930,tt0405159,Million Dollar Baby,2004,140.0,775677777777765765476757477767777545667734767667446757664775664635547520006777567665464665345563224677773,2035,8517,,10552,0.19285443517816528,0.8071455648218347
963,2918,tt0119675,Mimic,1997,48.0,2535671357325665006773235626654435563544777477647676577762154356463546656463452,1607,3151,,4758,0.33774695250105086,0.6622530474989491
964,2920,tt0425253,Mini's First Time,2006,,000131000003320013223211002334021113303110121135431003243313245677753224202343457654653332475233430406752404442333344664223422310,8069,3607,,11676,0.6910757108598835,0.3089242891401165
965,7986,tt2293640,Minions,2015,346.0,777777777777647664436633571124436266411774555375245177547123533532,1828,1800,,3628,0.503858875413451,0.4961411245865491
966,2924,tt0181689,Minority Report,2002,197.0,6474777766567655667777777777777776777777774777577676777777767621424334342476773453457763537777776777326777777656323357455576766757523577775344313477776453437566774477765,2369,12078,,14447,0.16397868069495397,0.8360213193050461
967,2927,tt0790686,Mirrors,2008,37.0,4477767777544433443754554425752346433423177733577753554777347323001514377767777553443433764554334753336433513267733577754455677437333000520,4418,10022,,14440,0.3059556786703601,0.6940443213296399
968,2930,tt0100157,Misery,1990,126.0,433223443336441343234232333313433336322343434334433343345743323444334335441,6314,3630,,9944,0.6349557522123894,0.36504424778761063
969,1165,tt0183523,Mission to Mars,2000,98.0,7535577777777777777426666777776766757563574566656776776667766476766557554356765776676665577576776553454756462,1062,7302,,8364,0.12697274031563846,0.8730272596843616
