,Nominee,Nominations,First,Last,Last - First,born,No
403,Virginia Madsen,1,2004,2004,0,1961,
122,Felicity Huffman,1,2005,2005,0,1962,
191,Joan Cusack,2,1988,1997,9,1962,
198,Jodie Foster,4,1976,1994,18,1962,
105,Elisabeth Shue,1,1995,1995,0,1963,
152,Helen Hunt,1,1997,1997,0,1963,
390,Tatum O'Neal,1,1973,1973,0,1963,
213,Juliette Binoche,2,1996,2000,4,1964,
235,Laura Linney,2,2000,2004,4,1964,
278,Marisa Tomei,2,1992,2001,9,1964,
353,Rosie Perez,1,1993,1993,0,1964,
91,Diane Lane,1,2002,2002,0,1965,
281,Marlee Matlin,1,1986,1986,0,1965,
149,Halle Berry,1,2001,2001,0,1966,
154,Helena Bonham Carter,1,1997,1997,0,1966,
360,Salma Hayek,1,2002,2002,0,1966,
112,Emily Watson,2,1996,1998,2,1967,
207,Julia Roberts,3,1989,2000,11,1967,
234,Laura Dern,1,1991,1991,0,1967,
273,Marianne Jean-Baptiste,1,1996,1996,0,1967,
310,Mira Sorvino,1,1995,1995,0,1967,
320,Nicole Kidman,2,2001,2002,1,1967,
342,Quinn Cummings,1,1977,1977,0,1967,
317,Naomi Watts,1,2003,2003,0,1968,
343,Rachel Griffiths,1,1998,1998,0,1968,
378,Sophie Okonedo,1,2004,2004,0,1968,
61,Cate Blanchett,3,1998,2006,8,1969,
65,Catherine Zeta-Jones,1,2002,2002,0,1969,
180,Jennifer Connelly,1,2001,2001,0,1970,
309,Minnie Driver,1,1997,1997,0,1970,
341,Queen Latifah,1,2002,2002,0,1970,
345,Rachel Weisz,1,2005,2005,0,1970,
398,Uma Thurman,1,1994,1994,0,1970,
408,Winona Ryder,2,1993,1994,1,1971,
148,Gwyneth Paltrow,1,1998,1998,0,1972,
396,Toni Collette,1,1999,1999,0,1972,
214,Juliette Lewis,1,1991,1991,0,1973,
7,Amy Adams,1,2005,2005,0,1974,
156,Hilary Swank,2,1999,2004,5,1974,
13,Angelina Jolie,1,1999,1999,0,1975,
69,Charlize Theron,2,2003,2005,2,1975,
218,Kate Winslet,5,1995,2006,11,1975,
346,Reese Witherspoon,1,2005,2005,0,1976,
362,Samantha Morton,2,1999,2003,4,1977,
216,Kate Hudson,1,2000,2000,0,1979,
305,Michelle Williams,1,2005,2005,0,1980,
60,Catalina Sandino Moreno,1,2004,2004,0,1981,
181,Jennifer Hudson,1,2006,2006,0,1981,
318,Natalie Portman,1,2004,2004,0,1981,
348,Rinko Kikuchi,1,2006,2006,0,1981,
20,Anna Paquin,1,1993,1993,0,1982,
227,Keira Knightley,1,2005,2005,0,1985,
228,Keisha Castle-Hughes,1,2003,2003,0,1990,
0,Abigail Breslin,1,2006,2006,0,1996,
